period,org_code,parent_org,org_name,a&e_attendances_type_1,a&e_attendances_type_2,a&e_attendances_other_a&e_department,a&e_attendances_booked_appointments_type_1,a&e_attendances_booked_appointments_type_2,a&e_attendances_booked_appointments_other_department,attendances_over_4hrs_type_1,attendances_over_4hrs_type_2,attendances_over_4hrs_other_department,attendances_over_4hrs_booked_appointments_type_1,attendances_over_4hrs_booked_appointments_type_2,attendances_over_4hrs_booked_appointments_other_department,patients_who_have_waited_4-12_hs_from_dta_to_admission,patients_who_have_waited_12+_hrs_from_dta_to_admission,emergency_admissions_via_a&e_-_type_1,emergency_admissions_via_a&e_-_type_2,emergency_admissions_via_a&e_-_other_a&e_department,other_emergency_admissions,month,year,percentage_seen_within_4_hours
MSitAE-APRIL-2024,AAH,NHS ENGLAND SOUTH WEST ,TETBURY HOSPITAL TRUST LTD,0,0,546,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,April,2024,
MSitAE-APRIL-2024,RAN,NHS ENGLAND LONDON,ROYAL NATIONAL ORTHOPAEDIC HOSPITAL NHS TRUST,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,April,2024,
MSitAE-APRIL-2024,8J094,NHS ENGLAND MIDLANDS ,BADGER LTD,0,0,0,0,0,2078,0,0,0,0,0,0,0,0,0,0,0,0,April,2024,
MSitAE-APRIL-2024,AD913,NHS ENGLAND LONDON,BECKENHAM BEACON UCC,0,0,3694,0,0,104,0,0,17,0,0,0,0,0,0,0,0,0,April,2024,
MSitAE-APRIL-2024,AQN04,NHS ENGLAND SOUTH EAST ,PHL LYMINGTON UTC,0,0,2897,0,0,7,0,0,8,0,0,0,0,0,0,0,0,0,April,2024,
MSitAE-APRIL-2024,L83087,NHS ENGLAND SOUTH WEST ,OKEHAMPTON MEDICAL CENTRE,0,0,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,April,2024,
MSitAE-APRIL-2024,NQTE4,NHS ENGLAND MIDLANDS ,SUMMERFIELD URGENT CARE CENTRE,0,0,3251,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,April,2024,
MSitAE-APRIL-2024,RA9,NHS ENGLAND SOUTH WEST ,TORBAY AND SOUTH DEVON NHS FOUNDATION TRUST,6247,0,3233,0,0,0,3037,0,12,0,0,0,315,86,1686,0,0,989,April,2024,51.38466463902673
MSitAE-APRIL-2024,RDY,NHS ENGLAND SOUTH WEST ,DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,April,2024,
MSitAE-APRIL-2024,RJ8,NHS ENGLAND SOUTH WEST ,CORNWALL PARTNERSHIP NHS FOUNDATION TRUST,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,42,April,2024,
MSitAE-APRIL-2024,RWY,NHS ENGLAND NORTH EAST AND YORKSHIRE ,CALDERDALE AND HUDDERSFIELD NHS FOUNDATION TRUST,15028,0,0,0,0,0,4313,0,0,0,0,0,1354,2,2969,0,0,179,April,2024,71.30023955283471
MSitAE-APRIL-2024,RXQ,NHS ENGLAND SOUTH EAST ,BUCKINGHAMSHIRE HEALTHCARE NHS TRUST,9767,1186,3547,0,0,0,3673,0,118,0,0,0,321,265,3741,824,0,1784,April,2024,62.393774956486126
MSitAE-APRIL-2024,RY7,NHS ENGLAND NORTH WEST ,WIRRAL COMMUNITY HEALTH AND CARE NHS FOUNDATION TRUST,0,0,4382,0,0,0,0,0,101,0,0,0,0,0,0,0,0,0,April,2024,
MSitAE-APRIL-2024,RY8,NHS ENGLAND MIDLANDS ,DERBYSHIRE COMMUNITY HEALTH SERVICES NHS FOUNDATION TRUST,0,0,6272,0,0,1630,0,0,31,0,0,2,0,0,0,0,0,0,April,2024,
MSitAE-APRIL-2024,Y00751,NHS ENGLAND SOUTH EAST ,EAST BERKS PRIMARY CARE OOH(WAM),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,April,2024,
MSitAE-APRIL-2024,Y02532,NHS ENGLAND NORTH WEST ,MIRIAM MINOR EMERGENCY,0,0,1706,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,April,2024,
MSitAE-APRIL-2024,Y02615,NHS ENGLAND MIDLANDS ,SOUTH BIRMINGHAM GP WALK IN CENTRE,0,0,6526,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,April,2024,
MSitAE-APRIL-2024,Y03007,NHS ENGLAND MIDLANDS ,ERDINGTON GP HEALTH & WELLBEING WIC,0,0,0,0,0,2053,0,0,0,0,0,0,0,0,0,0,0,0,April,2024,
MSitAE-APRIL-2024,Y03218,NHS ENGLAND LONDON,THE PINN UNREGISTERED WIC,0,0,924,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,April,2024,
MSitAE-APRIL-2024,DT301,NHS ENGLAND EAST OF ENGLAND ,HERTS URGENT CARE (ASCOTS LANE),0,0,2273,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,April,2024,
MSitAE-APRIL-2024,NQT5F,NHS ENGLAND NORTH WEST ,SKELMERSDALE WALK IN CENTRE,0,0,1871,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,April,2024,
MSitAE-APRIL-2024,NQT5H,NHS ENGLAND SOUTH WEST ,PAULTON MEMORIAL HOSPITAL,0,0,925,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,April,2024,
MSitAE-APRIL-2024,NTPAD,NHS ENGLAND SOUTH EAST ,PRACTICE PLUS GROUP SURGICAL CENTRE - ST MARYS PORTSMOUTH,0,0,5566,0,0,327,0,0,238,0,0,2,0,0,0,0,0,0,April,2024,
MSitAE-APRIL-2024,NTV0B,NHS ENGLAND SOUTH EAST ,ASHFORD WALK-IN-CENTRE,0,0,2476,0,0,0,0,0,51,0,0,0,0,0,0,0,0,0,April,2024,
MSitAE-APRIL-2024,NTV0W,NHS ENGLAND SOUTH EAST ,WOKING WALK IN CENTRE,0,0,2482,0,0,0,0,0,89,0,0,0,0,0,0,0,0,0,April,2024,
